urls,emails
https://www.systemsltd.com/,"Fayez.Qamar@systemsltd.com, Investor_relations@systemsltd.com"
https://www.netsoltech.com/,No emails found
https://10pearls.com/,No emails found
https://arbisoft.com/,No emails found
https://contour-software.com/,"careers@contour-software.com, info@contour-software.com"
https://www.techlogix.com/,No emails found
https://folio3.com/,No emails found
https://www.venturedive.com/,No emails found
https://www.rolustech.com/,support@rolustech.com
https://www.tkxel.com,No emails found
https://www.cisinlabs.com/    ,"abuse@cisin.com, info@cisin.com"
https://www.axiomzen.co/,No emails found
https://www.ibm.com/,"6557@il.ibm.com, Croatia.Control.Center@hr.ibm.com, IBM_Customer_Support_Bulgaria@bg.ibm.com, Info.Finland@ibm.com, InfoDenmark@ibm.com, InfoFinland@ibm.com, InfoNorway@ibm.com, InfoSweden@ibm.com, MENARRC@eg.ibm.com, SPOC@lv.ibm.com, TSS@eg.ibm.com, blueline@be.ibm.com, cc@tr.ibm.com, cok@pl.ibm.com, complaints@fscl.org.nz, gsc@at.ibm.com, ibm.luxembourg.sarl@be.ibm.com, ibm.office@ua.ibm.com, ibm@ee.ibm.com, ibm_directo@pt.ibm.com, ibmdiro@ch.ibm.com, ibmenquire@ie.ibm.com, ibmoffice@rs.ibm.com, info@hr.ibm.com, info@ro.ibm.com, info@si.ibm.com, infolt@lt.ibm.com, infolv@lv.ibm.com, lopezordonez@es.ibm.com, podpora@si.ibm.com, romania.hardware@ro.ibm.com, rossoft@ro.ibm.com, servis@cz.ibm.com, servlt@lt.ibm.com, support@rs.ibm.com, szerviz@hu.ibm.com, uaserv@ua.ibm.com"
https://www.capgemini.com/,No emails found
